index,region,region_name,province,city_municipality,is_capital,population_2015,land_area_sqkm,population_density_2015,cityid_name,latitude,longitude,population_recent,population_proper_recent
138,Region I,Ilocos,Ilocos Sur,Santa Catalina,no,13945,9.68,1441,santa catalina,9.3331,122.8658,75756,75756
139,Region I,Ilocos,Ilocos Sur,Santa Cruz,no,39868,88.78,449,santa cruz,14.2833,121.4167,117605,117605
141,Region I,Ilocos,Ilocos Sur,Santa Maria,no,30321,63.31,479,santa maria,14.8183,120.9563,256454,256454
142,Region I,Ilocos,Ilocos Sur,Santiago,no,18759,46.36,405,santiago,16.6833,121.55,134830,134830
143,Region I,Ilocos,Ilocos Sur,Santo Domingo,no,27975,55.49,504,santo domingo,15.5833,120.8667,57943,57943
148,Region I,Ilocos,Ilocos Sur,Tagudin,no,39277,151.19,260,tagudin,16.9333,120.45,39277,39277
149,Region I,Ilocos,Ilocos Sur,City of Candon,no,60623,103.28,587,candon,17.2,120.45,60623,60623
150,Region I,Ilocos,Ilocos Sur,City of Vigan,yes,53879,25.12,2145,vigan,17.5747,120.3869,53879,53879
151,Region I,Ilocos,La Union,Agoo,no,63692,52.84,1205,agoo,16.322,120.3647,63692,63692
152,Region I,Ilocos,La Union,Aringay,no,47458,84.54,561,aringay,16.3982,120.3555,47458,47458
153,Region I,Ilocos,La Union,Bacnotan,no,42078,78.18,538,bacnotan,16.7333,120.3833,42078,42078
155,Region I,Ilocos,La Union,Balaoan,no,39188,68.7,570,balaoan,16.8167,120.4,39188,39188
156,Region I,Ilocos,La Union,Bangar,no,35947,37.36,962,bangar,16.9,120.4167,35947,35947
157,Region I,Ilocos,La Union,Bauang,no,75032,73.15,1026,bauang,16.5333,120.3333,75032,75032
160,Region I,Ilocos,La Union,Luna,no,35802,42.9,835,luna,16.85,120.3833,35802,35802
161,Region I,Ilocos,La Union,Naguilian,no,54221,104.6,518,naguilian,16.5333,120.4,54221,54221
163,Region I,Ilocos,La Union,Rosario,no,55458,73.98,750,rosario,13.846,121.206,116764,116764
165,Region I,Ilocos,La Union,San Juan,no,37188,57.12,651,san juan,14.6,121.0333,122180,122180
166,Region I,Ilocos,La Union,Santo Tomas,no,39092,64,611,santo tomas,14.0833,121.1833,179844,179844
169,Region I,Ilocos,La Union,Tubao,no,28729,50.75,566,tubao,16.35,120.4167,28729,28729
170,Region I,Ilocos,La Union,City of San Fernando,yes,121812,102.72,1186,san fernando,15.0333,120.6833,306659,306659
171,Region I,Ilocos,Pangasinan,Agno,no,28052,169.75,165,agno,16.1161,119.8027,28052,28052
172,Region I,Ilocos,Pangasinan,Aguilar,no,41463,195.07,213,aguilar,15.8899,120.2379,41463,41463
173,Region I,Ilocos,Pangasinan,Alcala,no,43402,45.71,950,alcala,15.8468,120.5218,43402,43402
174,Region I,Ilocos,Pangasinan,Anda,no,39504,74.55,530,anda,16.2896,119.9491,39504,39504
175,Region I,Ilocos,Pangasinan,Asingan,no,57355,66.64,861,asingan,16.0023,120.6695,57355,57355
176,Region I,Ilocos,Pangasinan,Balungao,no,31106,73.25,425,balungao,15.9,120.7,31106,31106
177,Region I,Ilocos,Pangasinan,Bani,no,50306,179.65,280,bani,16.1869,119.8592,50306,50306
178,Region I,Ilocos,Pangasinan,Basista,no,32959,24,1373,basista,15.8524,120.3976,32959,32959
179,Region I,Ilocos,Pangasinan,Bautista,no,32307,46.33,697,bautista,15.7833,120.5,32307,32307
181,Region I,Ilocos,Pangasinan,Binalonan,no,54555,58.05,940,binalonan,16.05,120.6,54555,54555
182,Region I,Ilocos,Pangasinan,Binmaley,no,83052,118.5,701,binmaley,16.0323,120.269,83052,83052
183,Region I,Ilocos,Pangasinan,Bolinao,no,82084,197.22,416,bolinao,16.3333,119.8833,82084,82084
184,Region I,Ilocos,Pangasinan,Bugallon,no,67348,189.64,355,bugallon,15.9167,120.1833,67348,67348
186,Region I,Ilocos,Pangasinan,Calasiao,no,95154,48.36,1968,calasiao,16.0167,120.3667,95154,95154
187,Region I,Ilocos,Pangasinan,Dasol,no,29110,166.6,175,dasol,15.9896,119.8805,29110,29110
188,Region I,Ilocos,Pangasinan,Infanta,no,24584,254.29,97,infanta,14.7425,121.6494,69079,69079
191,Region I,Ilocos,Pangasinan,Lingayen,yes,103278,62.76,1646,lingayen,16.0167,120.2333,103278,103278
192,Region I,Ilocos,Pangasinan,Mabini,no,24765,291.01,85,mabini,13.7167,120.9,46211,46211
193,Region I,Ilocos,Pangasinan,Malasiqui,no,130275,131.37,992,malasiqui,15.9167,120.4167,130275,130275
194,Region I,Ilocos,Pangasinan,Manaoag,no,69497,55.95,1242,manaoag,16.0439,120.4856,69497,69497
195,Region I,Ilocos,Pangasinan,Mangaldan,no,106331,48.17,2207,mangaldan,16.07,120.4025,106331,106331
196,Region I,Ilocos,Pangasinan,Mangatarem,no,73241,317.5,231,mangatarem,15.7874,120.2921,73241,73241
197,Region I,Ilocos,Pangasinan,Mapandan,no,37059,21.01,1764,mapandan,16.0167,120.45,37059,37059
199,Region I,Ilocos,Pangasinan,Pozorrubio,no,69555,134.6,517,pozorrubio,16.1167,120.55,69555,69555
200,Region I,Ilocos,Pangasinan,Rosales,no,63081,66.39,950,rosales,15.8944,120.6328,63081,63081
201,Region I,Ilocos,Pangasinan,San Fabian,no,83025,81.28,1021,san fabian,16.15,120.45,83025,83025
202,Region I,Ilocos,Pangasinan,San Jacinto,no,40848,44.18,925,san jacinto,16.0725,120.4411,40848,40848
203,Region I,Ilocos,Pangasinan,San Manuel,no,52939,129.18,410,san manuel,16.0656,120.6667,52939,52939
204,Region I,Ilocos,Pangasinan,San Nicolas,no,35574,210.2,169,san nicolas,18.1725,120.5958,36736,36736
205,Region I,Ilocos,Pangasinan,San Quintin,no,32945,115.9,284,san quintin,15.9844,120.815,32945,32945
206,Region I,Ilocos,Pangasinan,Santa Barbara,no,82012,61.37,1336,santa barbara,16.0031,120.4008,82012,82012
207,Region I,Ilocos,Pangasinan,Santa Maria,no,33038,69.5,475,santa maria,14.8183,120.9563,256454,256454
208,Region I,Ilocos,Pangasinan,Santo Tomas,no,15022,13.43,1119,santo tomas,14.0833,121.1833,179844,179844
209,Region I,Ilocos,Pangasinan,Sison,no,47518,81.88,580,sison,16.1667,120.5167,47518,47518
210,Region I,Ilocos,Pangasinan,Sual,no,34149,130.16,262,sual,16.0667,120.1,34149,34149
211,Region I,Ilocos,Pangasinan,Tayug,no,43149,51.24,842,tayug,16.0267,120.7478,43149,43149
212,Region I,Ilocos,Pangasinan,Umingan,no,73252,258.43,283,umingan,15.9,120.8,73252,73252
213,Region I,Ilocos,Pangasinan,Urbiztondo,no,50170,81.8,613,urbiztondo,15.8227,120.3295,50170,50170
214,Region I,Ilocos,Pangasinan,Villasis,no,62333,75.83,822,villasis,15.9,120.5833,62333,62333
215,Region I,Ilocos,Pangasinan,City of Alaminos,no,89708,164.26,546,alaminos,16.1553,119.9808,89708,89708
216,Region I,Ilocos,Pangasinan,Dagupan City,no,171271,37.23,4600,dagupan,16.0333,120.3333,171271,171271
217,Region I,Ilocos,Pangasinan,San Carlos City,no,188571,169.03,1116,san carlos,15.9281,120.3489,188571,188571
218,Region I,Ilocos,Pangasinan,City of Urdaneta,no,132940,98.21,1354,urdaneta,15.9761,120.5711,132940,132940
219,Region II,Cagayan Valley,Batanes,Basco,yes,8579,33.67,255,basco,20.45,121.9667,8579,8579
225,Region II,Cagayan Valley,Cagayan,Abulug,no,32497,162.6,200,abulug,18.4441,121.4576,32497,32497
226,Region II,Cagayan Valley,Cagayan,Alcala,no,38883,168.64,231,alcala,15.8468,120.5218,43402,43402
227,Region II,Cagayan Valley,Cagayan,Allacapan,no,33571,306.8,109,allacapan,18.227,121.5556,33571,33571
228,Region II,Cagayan Valley,Cagayan,Amulung,no,47860,264.51,181,amulung,17.8387,121.7235,47860,47860
229,Region II,Cagayan Valley,Cagayan,Aparri,no,65649,286.64,229,aparri,18.355,121.6419,65649,65649
230,Region II,Cagayan Valley,Cagayan,Baggao,no,82782,995.49,83,baggao,17.8894,121.8709,82782,82782
231,Region II,Cagayan Valley,Cagayan,Ballesteros,no,34299,120,286,ballesteros,18.4,121.5167,34299,34299
232,Region II,Cagayan Valley,Cagayan,Buguey,no,30175,164.5,183,buguey,18.2882,121.8331,30175,30175
235,Region II,Cagayan Valley,Cagayan,Claveria,no,29921,194.8,154,claveria,8.61,124.8947,48906,48906
236,Region II,Cagayan Valley,Cagayan,Enrile,no,35834,166.6,215,enrile,17.55,121.7,35834,35834
237,Region II,Cagayan Valley,Cagayan,Gattaran,no,56661,707.5,80,gattaran,18.0667,121.65,56661,56661
238,Region II,Cagayan Valley,Cagayan,Gonzaga,no,38892,567.43,69,gonzaga,18.2667,122,38892,38892
239,Region II,Cagayan Valley,Cagayan,Iguig,no,27862,109.9,254,iguig,17.75,121.7333,27862,27862
240,Region II,Cagayan Valley,Cagayan,Lal-lo,no,44506,702.8,63,lal-lo,18.2,121.6667,44506,44506
241,Region II,Cagayan Valley,Cagayan,Lasam,no,39135,213.7,183,lasam,18.0667,121.6,39135,39135
242,Region II,Cagayan Valley,Cagayan,Pamplona,no,23596,209.67,113,pamplona,9.4667,123.1167,37596,37596
243,Region II,Cagayan Valley,Cagayan,Peñablanca,no,48584,1246.23,39,peñablanca,17.6333,121.7833,48584,48584
245,Region II,Cagayan Valley,Cagayan,Rizal,no,17994,124.4,145,rizal,15.6833,121.1667,64087,64087
247,Region II,Cagayan Valley,Cagayan,Santa Ana,no,32906,440.81,75,santa ana,15.0939,120.7681,55178,55178
250,Region II,Cagayan Valley,Cagayan,Santo Niño,no,27219,423.13,64,santo niño,6.4333,124.6833,40947,40947
251,Region II,Cagayan Valley,Cagayan,Solana,no,82502,234.6,352,solana,17.65,121.6833,82502,82502
252,Region II,Cagayan Valley,Cagayan,Tuao,no,61535,225.82,272,tuao,17.7333,121.45,61535,61535
253,Region II,Cagayan Valley,Cagayan,Tuguegarao City,yes,153502,144.8,1060,tuguegarao,17.6167,121.7167,153502,153502
254,Region II,Cagayan Valley,Isabela,Alicia,no,71504,154.1,464,alicia,16.7787,121.6972,71504,71504
255,Region II,Cagayan Valley,Isabela,Angadanan,no,43061,204.4,211,angadanan,16.7571,121.7479,43061,43061
256,Region II,Cagayan Valley,Isabela,Aurora,no,35017,115.56,303,aurora,13.35,122.5167,61473,61473
257,Region II,Cagayan Valley,Isabela,Benito Soliven,no,29624,197.52,150,benito soliven,16.9833,121.95,29624,29624
259,Region II,Cagayan Valley,Isabela,Cabagan,no,50174,430.4,117,cabagan,17.4333,121.7667,50174,50174
260,Region II,Cagayan Valley,Isabela,Cabatuan,no,39413,72,547,cabatuan,10.8833,122.4833,58442,58442
261,Region II,Cagayan Valley,Isabela,Cordon,no,42926,144,298,cordon,16.6667,121.45,42926,42926
265,Region II,Cagayan Valley,Isabela,Echague,no,79094,648.38,122,echague,16.7,121.65,79094,79094
266,Region II,Cagayan Valley,Isabela,Gamu,no,29904,129.4,231,gamu,17.05,121.8333,29904,29904
267,Region II,Cagayan Valley,Isabela,Jones,no,45666,670.14,68,jones,16.5583,121.7,45666,45666
268,Region II,Cagayan Valley,Isabela,Luna,no,19326,44.94,430,luna,16.85,120.3833,35802,35802
270,Region II,Cagayan Valley,Isabela,Mallig,no,30459,158.55,192,mallig,17.2,121.6167,30459,30459
271,Region II,Cagayan Valley,Isabela,Naguilian,no,31902,169.81,188,naguilian,16.5333,120.4,54221,54221
273,Region II,Cagayan Valley,Isabela,Quezon,no,25860,207.07,125,quezon,14.6333,121.0333,2936116,2936116
275,Region II,Cagayan Valley,Isabela,Ramon,no,52707,135.17,390,ramon,16.7833,121.5333,52707,52707
277,Region II,Cagayan Valley,Isabela,Roxas,no,61773,139.95,441,roxas,11.5833,122.75,167003,167003
280,Region II,Cagayan Valley,Isabela,San Isidro,no,24861,71.9,346,san isidro,15.2667,120.9,51612,51612
281,Region II,Cagayan Valley,Isabela,San Manuel,no,31896,112.77,283,san manuel,16.0656,120.6667,52939,52939
282,Region II,Cagayan Valley,Isabela,San Mariano,no,55370,1459.16,38,san mariano,16.9833,122.0167,55370,55370
283,Region II,Cagayan Valley,Isabela,San Mateo,no,64505,242.1,266,san mateo,14.6969,121.1219,252527,252527
284,Region II,Cagayan Valley,Isabela,San Pablo,no,25384,637.9,40,san pablo,14.07,121.325,266068,266068
285,Region II,Cagayan Valley,Isabela,Santa Maria,no,25382,124.9,203,santa maria,14.8183,120.9563,256454,256454
286,Region II,Cagayan Valley,Isabela,Santo Tomas,no,23005,80.58,285,santo tomas,14.0833,121.1833,179844,179844
287,Region II,Cagayan Valley,Isabela,Tumauini,no,67650,471.68,143,tumauini,17.2667,121.8,67650,67650
289,Region II,Cagayan Valley,Isabela,Ilagan City,yes,145568,1166.26,125,ilagan,17.1333,121.8833,145568,145568
290,Region II,Cagayan Valley,Isabela,City of Santiago,no,134830,255.5,528,santiago,16.6833,121.55,134830,134830
293,Region II,Cagayan Valley,Nueva Vizcaya,Aritao,no,37225,265.6,140,aritao,16.2973,121.0338,37225,37225
294,Region II,Cagayan Valley,Nueva Vizcaya,Bagabag,no,35501,183.9,193,bagabag,16.6044,121.2521,35501,35501
295,Region II,Cagayan Valley,Nueva Vizcaya,Bambang,no,53433,345,155,bambang,16.3825,121.11,53433,53433
296,Region II,Cagayan Valley,Nueva Vizcaya,Bayombong,yes,61512,163.36,377,bayombong,16.4833,121.15,61512,61512
298,Region II,Cagayan Valley,Nueva Vizcaya,Dupax del Norte,no,27514,347.3,79,dupax del norte,16.2864,121.0942,27514,27514
300,Region II,Cagayan Valley,Nueva Vizcaya,Kasibu,no,37705,318.8,118,kasibu,16.3167,121.2833,37705,37705
302,Region II,Cagayan Valley,Nueva Vizcaya,Quezon,no,21056,266.62,79,quezon,14.6333,121.0333,2936116,2936116
303,Region II,Cagayan Valley,Nueva Vizcaya,Santa Fe,no,16180,399.81,40,santa fe,11.15,123.8,28603,28603
304,Region II,Cagayan Valley,Nueva Vizcaya,Solano,no,59517,139.8,426,solano,16.5239,121.1919,59517,59517
306,Region II,Cagayan Valley,Quirino,Aglipay,no,27787,161.7,172,aglipay,16.4889,121.5874,27787,27787
307,Region II,Cagayan Valley,Quirino,Cabarroguis,yes,30582,260.2,118,cabarroguis,16.5833,121.5,30582,30582
308,Region II,Cagayan Valley,Quirino,Diffun,no,52569,320.1,164,diffun,16.6,121.4667,52569,52569
309,Region II,Cagayan Valley,Quirino,Maddela,no,38499,918.57,42,maddela,16.35,121.7,38499,38499
312,Region III,Central Luzon,Aurora,Baler,yes,39562,92.54,428,baler,15.7583,121.5625,39562,39562
313,Region III,Central Luzon,Aurora,Casiguran,no,24313,715.43,34,casiguran,12.8667,124.0167,32842,32842
317,Region III,Central Luzon,Aurora,Dipaculao,no,29736,361.64,82,dipaculao,15.9833,121.6333,29736,29736
318,Region III,Central Luzon,Aurora,Maria Aurora,no,40734,426.29,96,maria aurora,15.7967,121.4737,40734,40734
319,Region III,Central Luzon,Aurora,San Luis,no,27352,609.85,45,san luis,15.04,120.7919,54106,54106
320,Region III,Central Luzon,Bataan,Abucay,no,39880,79.72,500,abucay,14.7222,120.5354,39880,39880
322,Region III,Central Luzon,Bataan,Dinalupihan,no,106371,92.52,1150,dinalupihan,14.8833,120.4667,106371,106371
323,Region III,Central Luzon,Bataan,Hermosa,no,65862,157,420,hermosa,14.8333,120.5,65862,65862
324,Region III,Central Luzon,Bataan,Limay,no,68071,103.6,657,limay,14.5619,120.5983,68071,68071
325,Region III,Central Luzon,Bataan,Mariveles,no,127536,153.9,829,mariveles,14.4333,120.4833,127536,127536
326,Region III,Central Luzon,Bataan,Morong,no,29901,219.2,136,morong,14.5119,121.2389,58118,58118
327,Region III,Central Luzon,Bataan,Orani,no,66909,64.9,1031,orani,14.8,120.5333,66909,66909
328,Region III,Central Luzon,Bataan,Orion,no,56002,65.41,856,orion,14.6206,120.5817,56002,56002
329,Region III,Central Luzon,Bataan,Pilar,no,41823,37.6,1112,pilar,12.9333,123.6833,74564,74564
330,Region III,Central Luzon,Bataan,Samal,no,35298,56.3,627,samal,7.05,125.7333,104123,104123
331,Region III,Central Luzon,Bataan,City of Balanga,yes,96061,111.63,861,balanga,14.6833,120.5333,96061,96061
332,Region III,Central Luzon,Bulacan,Angat,no,59237,61.59,962,angat,14.9281,121.0293,59237,59237
333,Region III,Central Luzon,Bulacan,Balagtas,no,73929,28.66,2580,balagtas,14.8145,120.9085,73929,73929
334,Region III,Central Luzon,Bulacan,Baliuag,no,149954,45.05,3329,baliuag,14.95,120.9,149954,149954
335,Region III,Central Luzon,Bulacan,Bocaue,no,119675,31.87,3755,bocaue,14.8,120.9333,119675,119675
336,Region III,Central Luzon,Bulacan,Bulacan,no,76565,72.9,1050,bulacan,14.7928,120.8789,76565,76565
338,Region III,Central Luzon,Bulacan,Calumpit,no,108757,56.25,1933,calumpit,14.9167,120.7667,108757,108757
340,Region III,Central Luzon,Bulacan,Guiguinto,no,99730,27.5,3627,guiguinto,14.8333,120.8833,99730,99730
341,Region III,Central Luzon,Bulacan,Hagonoy,no,129807,103.1,1259,hagonoy,14.8333,120.7333,129807,129807
342,Region III,Central Luzon,Bulacan,Marilao,no,221965,33.74,6579,marilao,14.7581,120.9481,221965,221965
343,Region III,Central Luzon,Bulacan,Norzagaray,no,111348,309.77,359,norzagaray,14.9167,121.05,111348,111348
344,Region III,Central Luzon,Bulacan,Obando,no,59197,52.1,1136,obando,14.7,120.9167,59197,59197
345,Region III,Central Luzon,Bulacan,Pandi,no,89075,31.2,2855,pandi,14.8667,120.95,89075,89075
346,Region III,Central Luzon,Bulacan,Paombong,no,53294,46.34,1150,paombong,14.8311,120.7892,53294,53294
347,Region III,Central Luzon,Bulacan,Plaridel,no,107805,32.44,3323,plaridel,14.8869,120.8569,107805,107805
348,Region III,Central Luzon,Bulacan,Pulilan,no,97323,39.89,2440,pulilan,14.902,120.849,97323,97323
349,Region III,Central Luzon,Bulacan,San Ildefonso,no,104471,128.71,812,san ildefonso,15.0789,120.9419,104471,104471
350,Region III,Central Luzon,Bulacan,San Miguel,no,153882,231.4,665,san miguel,15.1458,120.9783,153882,153882
351,Region III,Central Luzon,Bulacan,San Rafael,no,94655,152.43,621,san rafael,14.95,120.9667,94655,94655
352,Region III,Central Luzon,Bulacan,Santa Maria,no,256454,90.92,2821,santa maria,14.8183,120.9563,256454,256454
353,Region III,Central Luzon,Bulacan,City of Malolos,yes,252074,67.25,3748,malolos,14.8433,120.8114,252074,252074
354,Region III,Central Luzon,Bulacan,City of Meycauayan,no,209083,32.1,6513,meycauayan,14.7333,120.95,209083,209083
355,Region III,Central Luzon,Bulacan,City of San Jose del Monte,no,574089,105.53,5440,san jose del monte,14.8139,121.0453,574089,574089
356,Region III,Central Luzon,Nueva Ecija,Aliaga,no,63543,90.04,706,aliaga,15.4988,120.841,63543,63543
357,Region III,Central Luzon,Nueva Ecija,Bongabon,no,64173,242.91,264,bongabon,15.6321,121.1448,64173,64173
358,Region III,Central Luzon,Nueva Ecija,Cabiao,no,79007,111.83,706,cabiao,15.25,120.85,79007,79007
359,Region III,Central Luzon,Nueva Ecija,Carranglan,no,41131,705.31,58,carranglan,15.9667,121.0667,41131,41131
360,Region III,Central Luzon,Nueva Ecija,Cuyapo,no,65039,215.73,301,cuyapo,15.7833,120.6667,65039,65039
362,Region III,Central Luzon,Nueva Ecija,General Mamerto Natividad,no,41656,118,353,general mamerto natividad,15.6025,121.0515,41656,41656
363,Region III,Central Luzon,Nueva Ecija,General Tinio,no,47865,533.08,90,general tinio,15.35,121.05,47865,47865
364,Region III,Central Luzon,Nueva Ecija,Guimba,no,118655,245.29,484,guimba,15.6581,120.7689,118655,118655
365,Region III,Central Luzon,Nueva Ecija,Jaen,no,73184,85.46,856,jaen,15.3333,120.9,73184,73184
366,Region III,Central Luzon,Nueva Ecija,Laur,no,35656,295.88,121,laur,15.5833,121.1833,35656,35656
367,Region III,Central Luzon,Nueva Ecija,Licab,no,28254,67.37,419,licab,15.5439,120.7634,28254,28254
368,Region III,Central Luzon,Nueva Ecija,Llanera,no,39701,114.44,347,llanera,15.6667,121.0167,39701,39701
369,Region III,Central Luzon,Nueva Ecija,Lupao,no,43788,121.33,361,lupao,15.8793,120.8983,43788,43788
371,Region III,Central Luzon,Nueva Ecija,Pantabangan,no,29925,392.56,76,pantabangan,15.8167,121.15,29925,29925
372,Region III,Central Luzon,Nueva Ecija,Peñaranda,no,29882,95,315,peñaranda,15.35,121,29882,29882
373,Region III,Central Luzon,Nueva Ecija,Quezon,no,40592,68.53,592,quezon,14.6333,121.0333,2936116,2936116
374,Region III,Central Luzon,Nueva Ecija,Rizal,no,64087,120.55,532,rizal,15.6833,121.1667,64087,64087
375,Region III,Central Luzon,Nueva Ecija,San Antonio,no,77836,153.56,507,san antonio,15.3833,120.8,77836,77836
376,Region III,Central Luzon,Nueva Ecija,San Isidro,no,51612,56.49,914,san isidro,15.2667,120.9,51612,51612
377,Region III,Central Luzon,Nueva Ecija,San Leonardo,no,65299,151.9,430,san leonardo,15.3667,120.9667,65299,65299
378,Region III,Central Luzon,Nueva Ecija,Santa Rosa,no,69467,147.15,472,santa rosa,14.3167,121.1167,353767,353767
379,Region III,Central Luzon,Nueva Ecija,Santo Domingo,no,57943,74.88,774,santo domingo,15.5833,120.8667,57943,57943
380,Region III,Central Luzon,Nueva Ecija,Talavera,no,124829,140.92,886,talavera,15.5839,120.9189,124829,124829
